gene_symbol;fpkm_ctl_B_1D6_d7;fpkm_ctl_B_4C2_d7;fpkm_ctl_B_WTC11_d7;fpkm_het_B_2A3_d7;fpkm_het_B_3D4_8_d7;fpkm_het_B_4A4_d7;fpkm_hom_B_2B1_9_d7;fpkm_hom_B_2B4_1_d7;fpkm_hom_B_3D6_d7;average_fpkm_ctl_BMP_d7;average_fpkm_het_BMP_d7;average_fpkm_hom_BMP_d7;log2fc_het_BMP_D7_vs_ctl_BMP_D7;padj_het_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_ctl_BMP_D7;padj_hom_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_het_BMP_D7;padj_hom_BMP_D7_vs_het_BMP_D7
B3GNT2;11.18;7.92;13.98;12.88;9.65;13.2;7.49;7.78;7.38;11.02666667;11.91;7.55;0.045078784;0.99985652;-0.583669539;0.249558694;-0.632573928;0.00179767
ADAMTS3;1.72;1.03;2.54;3.04;2.59;3.06;1.85;1.27;1.92;1.763333333;2.896666667;1.68;0.653087816;0.99985652;-0.131596332;0.998939046;-0.787577471;0.009473197
ETS2;3.64;3.3;7.1;3.89;3.86;4.78;1.78;2.06;2.61;4.68;4.176666667;2.15;-0.245365166;0.99985652;-1.183006025;0.012959468;-0.939969292;0.001234544
EFHD2;8.89;16.47;7.49;13.71;12.24;10.89;19.62;27.6;23.87;10.95;12.28;23.69666667;0.066071649;0.99985652;1.031400682;0.035450135;0.962081511;1.26E-06
CDH6;32.2;14.6;51.63;32.06;39.31;33.22;26.76;16.42;18.97;32.81;34.86333333;20.71666667;0.100661916;0.99985652;-0.752526011;0.243940354;-0.855665287;1.08E-05
DPYD;0.69;0.44;1.1;1.07;1.16;1.59;0.46;0.41;0.55;0.743333333;1.273333333;0.473333333;0.695322084;0.99985652;-0.74752689;0.707253466;-1.44534981;0.004457828
AUTS2;9.11;5.77;9.17;6.76;8.73;6.33;10.77;13.15;12.58;8.016666667;7.273333333;12.16666667;-0.181390048;0.99985652;0.560917112;0.254023431;0.738742564;0.003343622
RELN;1.03;0.79;0.37;0.54;0.83;0.54;1.4;4.64;2.44;0.73;0.636666667;2.826666667;-0.277988228;0.99985652;1.88204895;0.16107895;2.154576808;8.38E-06
RDH10;3.24;2.12;3.5;5.64;3.95;6.59;2.73;1.56;2.45;2.953333333;5.393333333;2.246666667;0.782637499;0.743443734;-0.453475318;0.773498226;-1.238982522;0.000533324
TLE1;14.44;20.8;24.24;27.02;17.25;27.73;12.74;11.46;13.61;19.82666667;24;12.60333333;0.226674989;0.99985652;-0.673162309;0.050285736;-0.90217008;4.40E-05
NRG2;0.93;2.03;1.08;1.63;1.63;1.07;2.8;3.07;2.73;1.346666667;1.443333333;2.866666667;0.128995854;0.99985652;1.112604484;0.029763555;0.98131471;0.008752394
ETV1;1.49;0.84;1.91;2.1;2;2;1.05;0.77;0.99;1.413333333;2.033333333;0.936666667;0.493373938;0.99985652;-0.6052187;0.639944648;-1.101830018;1.74E-06
TUBB4A;4.94;3.87;3.05;3.67;4.08;3.48;6.86;6.44;6.83;3.953333333;3.743333333;6.71;-0.140814665;0.99985652;0.694000275;0.12116353;0.831770221;0.000166981
EGR1;1.81;4.3;1.81;10.44;5.49;10.69;1.2;1.12;0.94;2.64;8.873333333;1.086666667;1.640056057;0.056921165;-1.35914701;0.034900661;-3.002191901;7.64E-24
GREM1;1;2.07;3.69;12.86;2.67;16.17;1.22;1.09;0.88;2.253333333;10.56666667;1.063333333;2.164416554;0.93258579;-1.051181311;0.319324639;-3.216209186;0.00107161
TRABD2B;2.84;4.14;2.64;3.6;2.81;3;1.78;1.49;2.38;3.206666667;3.136666667;1.883333333;0.064344167;0.99985652;-0.702212965;0.175324172;-0.769196357;0.009625828
ST6GALNAC3;19.85;11.37;23.34;33.54;20.61;32.19;13.53;16.9;14.68;18.18666667;28.78;15.03666667;0.354027005;0.99985652;-0.555887139;0.05570517;-0.913329225;3.50E-05
TAGLN;8.37;9.49;4.1;7.27;6.14;5.2;18.53;13.23;11.52;7.32;6.203333333;14.42666667;-0.335896069;0.99985652;0.903377077;0.156401623;1.235282268;1.26E-06
SOX11;13.08;6.5;11.2;6.16;6.92;7.55;14.56;11.56;11.56;10.26;6.876666667;12.56;-0.652576375;0.93258579;0.237558811;0.959279077;0.886371698;2.06E-07
HES5;63.75;107.06;56.15;76.18;57.38;71.12;92.35;105.4;110.81;75.65333333;68.22666667;102.8533333;-0.266708326;0.99985652;0.344711116;0.857768872;0.608120609;0.000194078
FAM181A;10.38;16.6;11.41;12.9;13.73;12.27;22.28;21.22;20.84;12.79666667;12.96666667;21.44666667;-0.079402784;0.99985652;0.657062369;0.12491904;0.734460595;5.16E-06
HEYL;1.48;4.06;5.35;6.76;1.41;6.76;1.22;1.17;1.65;3.63;4.976666667;1.346666667;0.359774461;0.99985652;-1.484472203;0.016224533;-1.845272143;0.009851634
NKAIN1;15.32;14.85;8.9;9.15;12.2;10.24;15.36;18.94;16.14;13.02333333;10.53;16.81333333;-0.397275149;0.99985652;0.293105045;0.902170074;0.686769458;0.0051335
PLAGL1;12.83;8.04;14.06;14.49;13.59;17.75;10.35;8.22;9.89;11.64333333;15.27666667;9.486666667;0.31005782;0.99985652;-0.342241796;0.825871819;-0.655622572;0.00265547
IL17RD;1.12;0.79;1.99;2.49;1.27;3.19;0.59;0.8;0.66;1.3;2.316666667;0.683333333;0.750583298;0.99985652;-0.976983463;0.136278959;-1.730412763;9.55E-06
DUSP4;3.43;2.8;5.16;4.45;3.63;3.75;2.24;1.81;2.47;3.796666667;3.943333333;2.173333333;-0.021325125;0.99985652;-0.858249539;0.040638512;-0.839816731;0.000239802
GDF10;10.84;13.61;29.68;35.23;22.66;38.34;11.51;5.17;11.76;18.04333333;32.07666667;9.48;0.747931664;0.99985652;-0.984382685;0.720705906;-1.733389829;1.74E-06
TOX;2.05;2.67;4.14;5.78;2.36;6.22;1.56;2.29;1.72;2.953333333;4.786666667;1.856666667;0.609353472;0.99985652;-0.723966925;0.348924695;-1.335716141;0.009789921
BACE2;1.9;1.33;2.5;2.07;2.04;2.16;1.16;1.07;1.28;1.91;2.09;1.17;0.054971006;0.99985652;-0.756591923;0.098926096;-0.81439855;2.11E-05
TNIK;2.27;1.95;2.94;3.11;2.28;3.06;1.32;1.74;1.57;2.386666667;2.816666667;1.543333333;0.160708061;0.99985652;-0.677243707;0.056903462;-0.841446048;0.000241432
EYA4;2.94;2.35;5.79;7.34;4.91;8.44;4.18;3;3.31;3.693333333;6.896666667;3.496666667;0.833167586;0.949672122;-0.10907063;0.998939046;-0.944614422;0.002295729
DCC;0.75;0.65;1.18;2.09;0.79;1.69;0.54;0.64;0.61;0.86;1.523333333;0.596666667;0.743630152;0.99985652;-0.567378601;0.515456036;-1.313790799;0.006587162
GPC3;48.77;63.48;58.06;64.98;51.78;62.63;35.78;30.48;45.5;56.77;59.79666667;37.25333333;-0.020617195;0.99985652;-0.681630663;0.029763555;-0.663532982;0.00524524
ROR1;3.11;1.39;4.8;3.42;3.18;3.27;2.06;1.65;2.1;3.1;3.29;1.936666667;0.096537511;0.99985652;-0.690003667;0.637178238;-0.789757105;2.38E-05
HOXD3;26.01;30.09;18.11;20.31;19.28;17.55;25.32;48.06;29.99;24.73666667;19.04666667;34.45666667;-0.485859461;0.99985652;0.37814511;0.843825963;0.85966632;0.008831858
